Address,Datetime,DatetimeEpoch,Tempmax,Tempmin,Temp,Dew,Humidity,Precip,Precipprob,Precipcover,Preciptype,Windgust,Windspeed,Winddir,Pressure,Cloudcover,Visibility,Solarradiation,Solarenergy,Uvindex,Moonphase
Lâm Đồng,2019-04-21,1555779600,26.5,21.1,23.2,20.0,83.2,0.2,100.0,4.17,['rain'],27.4,7.9,159.5,1010.8,54.8,18.45,288.7,24.8,10.0,0.56
Lâm Đồng,2019-04-22,1555866000,26.6,19.3,22.6,18.6,79.8,0.0,0.0,0.0,,29.2,9.4,126.0,1011.6,30.4,18.45,297.7,25.8,10.0,0.59
Lâm Đồng,2019-04-23,1555952400,27.2,18.0,22.5,18.3,78.6,0.4,100.0,12.5,['rain'],30.6,8.6,83.7,1012.9,32.6,18.45,287.9,24.7,10.0,0.62
Lâm Đồng,2019-04-24,1556038800,27.5,17.8,22.4,17.0,74.1,0.0,0.0,0.0,,29.5,10.1,70.5,1012.7,80.4,18.45,322.0,27.8,10.0,0.65
Lâm Đồng,2019-04-25,1556125200,27.9,17.0,22.3,17.1,73.9,0.0,0.0,0.0,,25.6,8.3,62.4,1012.2,51.3,18.45,313.9,27.0,10.0,0.69
Lâm Đồng,2019-04-26,1556211600,27.8,17.7,22.9,17.9,76.2,0.0,0.0,0.0,,31.0,8.6,91.8,1012.1,40.6,18.45,321.4,27.7,10.0,0.72
Lâm Đồng,2019-04-27,1556298000,28.8,18.3,23.1,17.7,74.7,0.1,100.0,4.17,['rain'],29.5,9.0,99.6,1013.2,66.4,18.45,301.8,26.2,10.0,0.75
Lâm Đồng,2019-04-28,1556384400,26.7,20.5,22.8,19.3,81.7,1.7,100.0,37.5,['rain'],23.0,5.8,98.2,1014.3,98.3,18.45,224.8,19.4,8.0,0.78
Lâm Đồng,2019-04-29,1556470800,28.5,19.5,23.4,18.8,77.0,0.1,100.0,4.17,['rain'],23.0,5.4,83.8,1013.3,86.8,18.45,265.9,23.0,10.0,0.81
Lâm Đồng,2019-04-30,1556557200,27.7,21.1,24.0,19.0,75.5,0.2,100.0,8.33,['rain'],20.2,4.7,205.5,1012.5,53.0,18.45,268.6,23.2,9.0,0.85
Lâm Đồng,2019-05-01,1556643600,26.3,20.4,22.9,19.5,81.6,8.8,100.0,50.0,['rain'],21.6,5.0,282.3,1012.8,76.8,18.45,242.5,20.8,8.0,0.88
Lâm Đồng,2019-05-02,1556730000,25.8,19.3,21.9,19.9,88.7,18.0,100.0,41.67,['rain'],24.8,5.0,195.9,1013.8,85.0,18.45,233.8,20.1,10.0,0.91
Lâm Đồng,2019-05-03,1556816400,25.8,19.6,21.7,20.0,90.7,24.9,100.0,41.67,['rain'],24.1,4.3,231.8,1014.5,82.1,18.45,233.9,20.1,8.0,0.94
Lâm Đồng,2019-05-04,1556902800,25.5,18.6,21.6,20.1,91.7,19.4,100.0,62.5,['rain'],25.2,5.4,216.1,1014.3,74.3,18.45,221.8,19.2,8.0,0.98
Lâm Đồng,2019-05-05,1556989200,27.0,19.6,22.4,20.0,87.4,13.2,100.0,29.17,['rain'],24.5,7.2,258.7,1013.0,55.9,18.45,273.1,23.7,9.0,0.0
Lâm Đồng,2019-05-06,1557075600,27.3,20.7,23.2,21.0,87.6,9.4,100.0,33.33,['rain'],34.9,10.1,253.3,1011.5,80.9,18.45,268.3,23.3,10.0,0.05
Lâm Đồng,2019-05-07,1557162000,27.8,21.1,23.4,20.7,85.5,12.4,100.0,25.0,['rain'],26.6,9.0,254.8,1010.4,98.6,18.45,260.3,22.5,10.0,0.08
Lâm Đồng,2019-05-08,1557248400,26.3,19.5,22.0,20.2,89.7,4.5,100.0,41.67,['rain'],30.2,9.7,242.1,1010.6,99.7,18.45,213.2,18.6,8.0,0.12
Lâm Đồng,2019-05-09,1557334800,25.8,19.6,21.5,19.3,88.1,8.9,100.0,41.67,['rain'],35.3,7.6,259.0,1011.0,99.4,18.45,223.2,19.3,9.0,0.15
Lâm Đồng,2019-05-10,1557421200,25.3,19.1,20.9,19.4,91.6,27.6,100.0,62.5,['rain'],29.5,7.9,268.5,1012.1,99.9,18.45,153.7,13.1,6.0,0.19
Lâm Đồng,2019-05-11,1557507600,25.2,19.1,21.2,19.6,91.0,12.3,100.0,58.33,['rain'],24.5,5.8,268.3,1013.1,99.8,18.45,126.4,10.9,6.0,0.22
Lâm Đồng,2019-05-12,1557594000,26.4,18.2,22.0,19.5,86.0,3.9,100.0,41.67,['rain'],32.4,8.6,231.4,1012.5,92.9,18.45,235.0,20.4,9.0,0.25
Lâm Đồng,2019-05-13,1557680400,27.5,19.4,22.6,19.4,82.8,4.5,100.0,29.17,['rain'],36.0,12.6,236.2,1012.3,68.0,18.45,253.5,21.9,9.0,0.3
Lâm Đồng,2019-05-14,1557766800,27.4,19.7,22.8,19.7,83.6,3.2,100.0,37.5,['rain'],33.8,10.4,217.4,1012.8,64.2,18.45,244.5,21.1,8.0,0.33
Lâm Đồng,2019-05-15,1557853200,27.5,19.9,22.7,19.9,85.5,3.3,100.0,33.33,['rain'],30.6,9.0,222.4,1013.5,71.7,18.45,251.1,21.6,8.0,0.37
Lâm Đồng,2019-05-16,1557939600,27.3,20.4,22.6,20.1,87.1,3.3,100.0,45.83,['rain'],28.4,8.6,236.8,1013.6,70.2,18.45,236.5,20.5,8.0,0.4
Lâm Đồng,2019-05-17,1558026000,28.1,19.9,23.1,19.8,82.9,2.5,100.0,25.0,['rain'],31.0,9.4,261.9,1012.6,94.3,18.45,275.2,24.0,10.0,0.44
Lâm Đồng,2019-05-18,1558112400,28.0,20.3,23.6,20.0,81.5,1.6,100.0,12.5,['rain'],32.8,10.4,250.4,1011.7,74.3,18.45,280.6,24.3,10.0,0.48
